group,age
Tai-Yay,1.6200437274399997
Kra-Dai,4.446162010609999
Kam-Tai,3.2651086976099992
Tai-Yay,1.779630577609999
Kra-Dai,4.3155574605
Kam-Tai,3.9299049023
Tai-Yay,1.9881140443
Kra-Dai,4.5454436712
Kam-Tai,4.2354699201
Tai-Yay,2.0612129381
Kra-Dai,7.5459487875
Kam-Tai,7.5459487875
Tai-Yay,2.5657979206999997
Kra-Dai,4.2616537350199994
Kam-Tai,3.8369948572199997
Tai-Yay,2.071001367219999
Kra-Dai,6.198168398249999
Kam-Tai,4.3114810199499995
Tai-Yay,2.426193622949999
Kra-Dai,9.2647078533
Kam-Tai,4.874647897199999
Tai-Yay,2.772010439199999
Kra-Dai,6.6828282268
Kam-Tai,3.5476287227
Tai-Yay,1.9825056907
Kra-Dai,6.4513633098
Kam-Tai,3.4221050051999997
Tai-Yay,2.3808944552
Kra-Dai,6.649959626720001
Kam-Tai,3.345807706920001
Tai-Yay,2.348434697320001
Kra-Dai,6.895034120649
Kam-Tai,2.8397862864490007
Tai-Yay,2.091792752849001
Kra-Dai,4.669473336630001
Kam-Tai,2.150195526430001
Tai-Yay,1.7773955099300012
Kra-Dai,4.318690097699999
Kam-Tai,2.0715808453999993
Tai-Yay,1.9465856836999995
Kra-Dai,6.8723804381999996
Kam-Tai,2.6730654081999994
Tai-Yay,1.8543605372999998
Kra-Dai,5.4848862726
Kam-Tai,2.7853106995
Tai-Yay,1.7056669525000001
Kra-Dai,5.2762083584
Kam-Tai,3.371890147
Tai-Yay,1.8884551179999995
Kra-Dai,5.524910122900001
Kam-Tai,3.106432817900001
Tai-Yay,2.083587142900001
Kra-Dai,5.609737065400001
Kam-Tai,2.9037687065000006
Tai-Yay,1.9563577718000005
Kra-Dai,4.6341796677
Kam-Tai,2.2837590882999996
Tai-Yay,1.7225447273999999
Kra-Dai,5.77686491199
Kam-Tai,3.28064290189
Tai-Yay,1.97529049089
Kra-Dai,4.712888645279999
Kam-Tai,2.3826951384799986
Tai-Yay,1.3985449474799987
Kra-Dai,5.4406004409
Kam-Tai,2.8798747035
Tai-Yay,1.9943323965
Kra-Dai,5.2250953078
Kam-Tai,2.1372041296
Tai-Yay,1.6864019636000003
Kra-Dai,5.194861834159999
Kam-Tai,2.1427854981599994
Tai-Yay,1.6678785026599994
Kra-Dai,4.135330847720001
Kam-Tai,2.3117611733200008
Tai-Yay,1.5489736500200006
Kra-Dai,4.17563054094
Kam-Tai,2.73944389758
Tai-Yay,1.6491648035800006
Kra-Dai,7.760437779049999
Kam-Tai,3.014047999849999
Tai-Yay,1.937035988849999
Kra-Dai,5.308453023044
Kam-Tai,3.4714335228439994
Tai-Yay,2.251212920844
Kra-Dai,6.21941927226
Kam-Tai,2.8472209807599995
Tai-Yay,1.8442214667599997
Kra-Dai,4.8961552784
Kam-Tai,2.8569301228
Tai-Yay,1.7577744698000002
Kra-Dai,5.83273171337
Kam-Tai,2.9650288632000006
Tai-Yay,1.9261338302000004
Kra-Dai,5.5511092535
Kam-Tai,3.1976059255
Tai-Yay,1.6926452594999999
Kra-Dai,5.3238837745000005
Kam-Tai,2.6896792756000005
Tai-Yay,1.5480467436000005
Kra-Dai,6.25964571533
Kam-Tai,2.7357137150299997
Tai-Yay,2.0003864072299997
Kra-Dai,4.8991865493
Kam-Tai,2.3307056083000006
Tai-Yay,1.8795040392000004
Kra-Dai,4.9298736414
Kam-Tai,2.5387282042000003
Tai-Yay,1.918788654
Kra-Dai,3.9835337414999996
Kam-Tai,1.9778266184999995
Tai-Yay,1.5089723542999995
Kra-Dai,4.350792234200001
Kam-Tai,2.1105775397000013
Tai-Yay,1.4317297724000015
Kra-Dai,4.73590616152
Kam-Tai,2.17648158582
Tai-Yay,1.5074038291199998
Kra-Dai,4.66064260221
Kam-Tai,2.1661667406000005
Tai-Yay,1.5427465655000003
Kra-Dai,4.79052476722
Kam-Tai,2.25727918282
Tai-Yay,1.5104086785200002
