concept,n_cogsets,mean,median,sd,HPDI_lower,HPDI_upper
S027_feather,6,0.6108163039712468,0.5924291764756351,0.21433929310557687,0.1941439551023123,1.0327353575256075
S028_fire,2,0.6886150288487326,0.38839791123608003,1.0794280697886298,0.0012844639982492745,2.224712242671139
S029_fish,4,0.45524654412967075,0.4318452460908138,0.18536125166895762,0.15798805504651836,0.8289003676287544
S030_fly.v.,4,0.6630151259733669,0.5731598600473653,0.42187994198371276,0.062320345819003364,1.4567287299259106
S031_foot,5,0.49754729994639996,0.43218367290226434,0.24500799246478783,0.16560549107284228,1.0071479960407603
S032_full,4,0.5107890335183947,0.45470593945212634,0.31522950921396736,0.02875818505155724,1.0906557694844365
S033_give,8,1.0209949679153363,0.9916523356219524,0.3541320926354394,0.3778750229361728,1.6822313189952953
S034_good,8,0.5283309771625726,0.5141215045136684,0.19139545051365445,0.19055658786965224,0.9035933653825677
S035_green,8,1.031373936464843,0.9462113776160851,0.4536802781635252,0.3179211198571448,1.8905336395418952
S036_hair,7,0.8054343106536302,0.767453652864349,0.2777994017414828,0.3155577734679942,1.3519244201094966
S037_hand,4,0.5844236937530779,0.4771686618994486,0.40004481855484847,0.07929205760537983,1.388126416701142
S038_head,7,0.4568544260075527,0.3933071445263223,0.2609212944592558,0.09788277741495963,0.9946563280561472
S039_hear,13,1.4315037778231487,1.423574568472516,0.3580473633313449,0.7818791632162684,2.1163519439888887
S040_heart,6,0.8444822340457125,0.791409896051541,0.4151807492233903,0.13873225987119836,1.6163656702028495
S041_horn,5,0.6884116510670345,0.5799548934031229,0.4427442005105395,0.07473087847978505,1.4763058004562897
S042_I,6,1.1439767243716723,1.105337636206367,0.3328743766201537,0.5343003132659102,1.7781120847118044
S043_kill,9,0.781812864929155,0.7288504487650733,0.3287301046296747,0.2531176148905455,1.4465447450653452
S044_knee,3,0.5573131265750693,0.4176557140821364,0.5014468071129075,0.0284957132525063,1.4628876776219872
S045_know,7,0.6019910959899573,0.5137533959547345,0.3384591186185843,0.14424094750013244,1.2680732840814093
S046_leaf,6,0.5214552964290743,0.487190422639789,0.19338119315042016,0.19538884905358278,0.892671736724308
S048_liver,5,0.6021998118725018,0.5340843012977485,0.3358960090440468,0.12642360147471027,1.2847901429722879
S049_long,7,0.6016606344697479,0.5601371375206076,0.24203774554506952,0.21793862310481288,1.1001222669321846
S050_louse,3,1.220555071944512,1.0405658628140528,0.8304558498761879,0.1337404990614687,2.764793439789872
S051_man,11,1.1683340727250733,1.1292766866493644,0.33747219211501456,0.574166112309793,1.8462753603916904
S052_many,10,0.8238678532806354,0.8023832524657777,0.22442717776187243,0.3940401890913918,1.253752150504293
S053_meat,12,0.4845943936769636,0.46365810505423005,0.13938854699187206,0.2515546205404592,0.7697641389982359
S054_moon,7,0.9236028370004389,0.8527112837435946,0.38702181973615046,0.28904596220391,1.695108715269551
S055_mountain,15,0.8322954820316065,0.8208362467138881,0.1844905524853069,0.4791374028674673,1.1724141176771063
S056_mouth,12,0.9478839069219156,0.875975286072005,0.34266194763927404,0.39328017415132743,1.6136950059653554
S057_name,6,0.5535786808785237,0.4973566899352524,0.3287882047264624,0.07531391451648972,1.1714516474406502
S058_neck,9,0.5901603960694396,0.569454155686375,0.2058469856911816,0.22208339668453447,1.009656302369905
S059_new,7,0.5008445488916073,0.47057378732676514,0.2300266562640214,0.13856433534214108,0.9680661827154241
S060_night,12,1.340373689823906,1.3524123493380853,0.3680697092027691,0.5364587451843013,2.0051915101343076
S061_nose,3,0.25152078704417596,0.1657062507618141,0.2347804106994013,0.015116807150902023,0.7307550297558658
S062_not,18,1.5089637772983302,1.5017349695900157,0.2641492855183273,1.0064500610191174,2.021105499076104
S063_one,6,1.2306637232056261,1.1997705197134692,0.3793536588022688,0.5501972779129897,2.016168781352945
S064_person,8,0.7873966771255808,0.724129249953868,0.34446415305821915,0.2587961961402962,1.5387892961154093
S065_rain,3,0.37066582606405346,0.313175941533585,0.25748887205684595,0.041876628618936595,0.8714851211302359
S066_red,9,0.6576784190871462,0.6309038773919116,0.20207029930004772,0.28139900634676135,1.0533227971903214
S067_road,5,0.7235982596903096,0.6680602562229407,0.25903368093456774,0.30005959542865923,1.2778292457539409
S068_root,12,0.8794583271091017,0.8847488615866766,0.33672889799837546,0.29403379070084745,1.4790258866652966
S069_round,12,1.5226726870399594,1.4678485534498367,0.39473585019238644,0.8455039805573215,2.3068351271591947
S072_see,14,1.9206533882395693,1.8859200865485695,0.3501214690409271,1.3151906096084833,2.6670517599301617
S073_seed,6,2.154419760178735,2.0144035078704157,0.7477953287568937,0.9922253587050734,3.683882864954865
S074_sit,8,0.5131591762571492,0.4936815608047533,0.1964856689883188,0.1735233256091284,0.8884145429448359
S075_skin,7,0.47823366699083397,0.46464953419945804,0.21799953974770162,0.06336182664119827,0.8694770753150676
S076_sleep,8,0.8397493937634148,0.815381208189708,0.29763374839853723,0.3212701540972177,1.4643304872718765
S077_small,16,1.6942245986387225,1.6662462518602765,0.3134812232131232,1.121814400818696,2.3562438283239753
S078_smoke,4,0.49764450446980063,0.3927673261242901,0.3761684424699683,0.058795067773634926,1.2213547781847498
S079_stand,12,0.750914574536367,0.7227575736039628,0.2246771804202323,0.3770529595927907,1.2261365809490372
S080_star,9,0.6997786089854853,0.6887806253422313,0.278177716258521,0.20052088428634396,1.2503444461961706
S081_stone,8,0.7985989575468515,0.772865626617191,0.2840269039994404,0.2410565656465862,1.3532792519279992
S082_sun,4,0.7210802663051442,0.6187163406299,0.45924959880066774,0.10198459204210877,1.5886209186926321
S084_tail,3,0.5001468004794886,0.45408781204994425,0.31046227493079287,0.02024523019529273,1.1032282973777445
S086_this,3,0.7387061836726496,0.5406780577317678,0.683441404395394,0.027502088633460486,1.96363947260762
S087_thou,5,1.6889651081244006,1.5713910532260291,0.6688606822120191,0.645894412751963,3.1291704643723053
S088_tongue,3,0.5725903385788073,0.5236662324280189,0.24356318234619295,0.17998618646875042,1.0692441214525494
S089_tooth,6,0.875868372105929,0.8410099283688177,0.30069866262762285,0.3390563439504199,1.4703014688445797
S090_tree,5,0.5276099188598619,0.46790036707590377,0.2612141790203701,0.11164976146717709,1.0413605617585668
S091_two,3,0.16191042344037546,0.12765082996794438,0.12354498146563082,0.0032894934750850036,0.39679499628599446
S092_walk,6,0.5618197468621314,0.5464026327389482,0.15326628270303586,0.28532570774132837,0.8598990978779506
S093_warm,9,1.0723850194181277,1.0404976206215149,0.3140511106200582,0.49205282325010924,1.6804047551828796
S094_water,2,0.14083678499019278,0.08328084102615411,0.1580972631564197,0.0012774332963070099,0.4694604699937722
S095_we,8,1.2561027646919156,1.227232513095027,0.3277893430069747,0.6363915273483195,1.8585404415357805
S097_white,5,0.42540187056758166,0.39996664782816893,0.18758389007530124,0.07933910409685879,0.7967579006745197
S099_woman,13,1.2964987166703927,1.2939377454964602,0.4393733976026067,0.49465617669494216,2.1071846754401307
S100_yellow,7,0.6915979373697286,0.6583469840716036,0.26206966952867683,0.21508905620901098,1.1989807095334217
