k,p
7.271938098530423,0.001
7.434938779109281,0.001
5.08453365880325,0.001
5.9026757178234694,0.001
5.739199650078352,0.001
6.21733342592983,0.001
5.719836748374902,0.001
6.050633108825384,0.001
5.354090065225419,0.001
6.870229452589855,0.001
7.145389526660574,0.001
4.8407864793262645,0.001
5.477817952573017,0.001
3.6038979381164675,0.001
6.958454831895233,0.001
5.275482487566245,0.001
6.568322955416844,0.001
4.2662842285372164,0.001
4.836323120281187,0.001
5.868246095936187,0.001
6.32818615792095,0.001
6.769511711580315,0.001
5.947754366159146,0.001
6.294005073186166,0.001
6.172302767774525,0.001
5.927305135098853,0.001
6.0911534022595095,0.001
5.451681379586185,0.001
4.080977990249794,0.001
5.635722681815823,0.001
7.0387670107287725,0.001
6.425110713140672,0.001
5.732168185696849,0.001
5.411178940308918,0.001
4.253200665942785,0.001
6.615813869815664,0.001
5.4022411455464026,0.001
6.270617764743817,0.001
6.37823870133375,0.001
5.426076454823332,0.001
4.655764208902849,0.001
6.034962258160396,0.001
6.183264408553053,0.001
7.133284099459697,0.001
6.1081879105469055,0.001
7.017300163139871,0.001
5.8256100237897845,0.001
5.598459708005393,0.001
6.521215627527954,0.001
6.641683452559465,0.001
6.651145323357314,0.001
6.529862056243038,0.001
6.131303483466038,0.001
5.1141107819242,0.001
6.287903235992049,0.002
7.381605954663249,0.001
4.6740188684298305,0.001
5.248172746257768,0.001
4.741796303475085,0.001
6.0043560803711715,0.001
6.248195748562001,0.001
6.229427486269547,0.001
4.999827033892095,0.001
5.073396702286233,0.001
6.533757527196954,0.001
4.7944874023747275,0.001
6.101144380210716,0.001
5.5041067725036275,0.001
6.880398862217386,0.001
7.121511655772467,0.001
5.388425153346409,0.001
6.107367089239779,0.001
6.12974491523177,0.002
7.384264367214727,0.001
5.174504985569597,0.001
6.527578221654114,0.001
7.2692130386341205,0.001
6.985338379070673,0.001
5.8973261774072245,0.001
6.0376360616607965,0.001
6.381270525581303,0.001
6.031196756606542,0.001
6.1254322470655,0.001
5.656314566961843,0.001
6.581509353683279,0.001
7.548329888812154,0.001
5.242461230578036,0.001
5.699014325875823,0.001
6.938774279209166,0.001
4.114989621179058,0.001
3.376977246415911,0.001
4.5226101458373424,0.001
5.967824982844266,0.001
6.2280520854948005,0.001
5.942285656515265,0.001
4.851130729866446,0.001
3.344006013614368,0.001
4.097586133449236,0.001
5.8074938195694585,0.001
6.08668274859339,0.001
4.871958428820452,0.001
5.685187278183374,0.001
5.698287172781941,0.001
5.566779183811801,0.001
5.7245008146428065,0.001
6.035822014229755,0.001
7.442667367904387,0.001
7.3806747460670845,0.001
5.5798321334166525,0.001
6.55784288025739,0.001
6.119863130116658,0.001
5.444702374638941,0.001
6.231207228558643,0.001
4.4296533886163685,0.001
4.873437831451808,0.002
4.732154369379796,0.001
5.3743959159098775,0.001
5.2535417009042815,0.001
6.084948092614634,0.002
5.673846637852092,0.001
6.55243105406183,0.001
6.57684817544148,0.001
5.382420199452623,0.001
5.100487009587274,0.001
7.478168828736516,0.001
5.698871487796036,0.001
6.211138112119156,0.001
5.787370770900246,0.001
4.8828934676012485,0.001
7.234211397297901,0.001
5.936686483185449,0.001
6.211544004346429,0.001
6.199233688657489,0.001
6.823139904124844,0.001
4.46997512255649,0.001
4.849716789966278,0.001
6.337382323044716,0.001
5.4701267191617005,0.001
6.4138962012267235,0.001
5.645974717230402,0.002
5.501321541855518,0.001
6.366347741371411,0.001
6.360642284523909,0.001
6.540415651355592,0.001
5.759868624001775,0.001
7.378034693853258,0.001
7.106981869122332,0.001
7.185585940491431,0.001
7.059628531547056,0.001
6.853738123140266,0.001
6.383457173540082,0.001
5.113796778510504,0.001
6.295035834235603,0.001
7.326006905294503,0.001
4.937576685036946,0.001
5.368136202914785,0.001
5.3630080816861385,0.001
4.071148999913884,0.001
4.941027808845701,0.001
6.48257225089737,0.003
5.40424805523795,0.001
4.665706354967196,0.001
8.009408733630192,0.001
4.9984049733001426,0.001
4.105536257488281,0.001
3.4738800896917836,0.001
4.699587768771597,0.001
5.20165524019131,0.001
7.200147750170805,0.001
6.505896914768535,0.001
6.82526538572348,0.001
5.01151293009308,0.001
6.221459432564738,0.001
6.403094481891036,0.001
6.954306469169432,0.001
5.4720294326186565,0.001
7.303096341553523,0.001
5.488467425701593,0.001
5.548383428736288,0.001
5.064201946204532,0.001
4.73469872907986,0.002
4.752545889252025,0.001
5.429568228846335,0.001
6.586186247148837,0.001
5.959242944562124,0.001
6.50632558588425,0.001
5.333593972821096,0.001
5.97815962890946,0.001
6.877410345645744,0.001
7.088444904583446,0.001
5.680410282563465,0.001
5.729793177790736,0.001
6.491176171145906,0.001
5.922164152295833,0.001
6.223738160082138,0.001
4.990823690152154,0.001
6.190634834473866,0.001
5.752422510926849,0.001
6.611525073774784,0.001
6.17941752097369,0.001
6.249776209325413,0.001
6.288131146400143,0.001
7.070296738630225,0.001
