k,p
1.7281581450000172,0.001
2.9151575841879716,0.001
2.668472871694145,0.002
2.7244262078619434,0.001
1.663049008325798,0.002
2.9296866401610786,0.001
1.7313718586710238,0.002
2.2519760320446753,0.001
1.8736028320453388,0.001
2.214573897755115,0.001
2.5832816477954577,0.002
3.161006617262309,0.001
2.1739067901835694,0.001
1.3264548948556985,0.001
1.673074107072877,0.001
2.478583005284857,0.001
2.1041974436661266,0.002
3.4355966420508617,0.002
2.1303984557179856,0.001
1.2519764590954303,0.001
3.566421694017763,0.001
2.0389408765609147,0.001
1.6071702097110059,0.001
2.4377233576290607,0.001
3.483739129454046,0.001
1.4300617088002274,0.001
1.7403634757698205,0.001
1.7916759837554064,0.002
2.545408403368288,0.001
2.235186533477931,0.001
2.35719251073668,0.001
2.3891558016420715,0.001
2.016482421149001,0.001
2.530076137875886,0.001
2.315159237487441,0.001
2.9524275042473067,0.001
2.6504740402380196,0.001
2.5038505312274135,0.001
2.130060936699475,0.001
2.5492718234204794,0.001
2.449173393593207,0.001
2.526153503778938,0.001
2.348318454675874,0.001
2.7143564061490624,0.001
2.1489061109211214,0.001
1.650451884010024,0.001
2.140699015802855,0.001
2.3659490692066747,0.001
2.09868246263272,0.001
2.4056606655810495,0.001
1.5899392602477223,0.001
1.4903625999425842,0.002
2.265306826137042,0.001
2.3044496087385107,0.001
2.0862351215507173,0.001
1.9203935601405697,0.001
2.1094120687508893,0.001
1.1582524300730361,0.001
2.506871768899031,0.001
2.584031517425537,0.001
2.823068651921137,0.001
1.4179228724106887,0.001
2.225884278070467,0.002
1.4573989152116529,0.001
2.437120013175946,0.001
2.3689112100369276,0.001
2.8845415115025883,0.001
3.30593024520046,0.001
2.126466051644505,0.001
2.1101209320167995,0.001
1.9083180285371242,0.001
1.8545842499559773,0.001
2.4379693088551297,0.001
1.7443729155295578,0.001
1.9061406654331332,0.001
2.216418128086597,0.001
1.5159793875136918,0.001
1.8614420697058869,0.001
2.1587660597113882,0.001
1.9991939212360088,0.001
