Sample,level,rate
10970000,3,1.2170066425352835
10970000,4,0.7265368822258677
10980000,1,0.4335267209087579
10980000,2,1.1000715559403562
10980000,3,1.2008754420840009
10980000,4,0.7386091104033858
10990000,1,0.29134600195508376
10990000,2,0.9342014830935217
10990000,3,1.4844786520300612
10990000,4,1.0368255341001424
11000000,1,0.3858866393574255
11000000,2,0.9110731929794477
11000000,3,1.5969588400921253
11000000,4,0.3558507804724262
11010000,1,0.4644578510594775
11010000,2,1.0315254945979822
11010000,3,1.358983196475769
11010000,4,0.3820813070060097
11020000,1,0.3649873474984989
11020000,2,1.0338207364101084
11020000,3,1.3083038409358771
11020000,4,0.9231752200195411
11030000,1,0.4943312569421825
11030000,2,0.8538146123605725
11030000,3,1.4652275188424788
11030000,4,1.224047412723848
11040000,1,0.43949177155752156
11040000,2,0.989135136534962
11040000,3,1.376938447822825
11040000,4,0.7159232120661749
11050000,1,0.34148617148928845
11050000,2,0.9623754428506563
11050000,3,1.4874337965128892
11050000,4,0.6376917744277245
11060000,1,0.40161264245076955
11060000,2,0.9633687775072707
11060000,3,1.447175508970308
11060000,4,0.6686732009906955
11070000,1,0.40503329480314976
11070000,2,0.8740215939506332
11070000,3,1.5373826615594575
11070000,4,0.9295969460891265
11080000,1,0.4810094433546535
11080000,2,0.962040134182883
11080000,3,1.3757653302178778
11080000,4,0.8291362330142312
11090000,1,0.4269970975022611
11090000,2,0.9073861769730998
11090000,3,1.4414640276080444
11090000,4,1.0962833288518286
11100000,1,0.5187960766533398
11100000,2,0.8587523218469014
11100000,3,1.5347732759276445
11100000,4,0.7402219292688159
11110000,1,0.36194920868591324
11110000,2,1.1674402363032061
11110000,3,1.1464008483135633
11110000,4,0.6708882947750132
11120000,1,0.41315906129924296
11120000,2,0.8932494615914909
11120000,3,1.5766078529707506
11120000,4,0.5348612203047401
11130000,1,0.5874268752796368
11130000,2,0.8373659915291292
11130000,3,1.5206759712227622
11130000,4,0.7952360052094085
11140000,1,0.35912633760080337
11140000,2,0.950518583556353
11140000,3,1.499311284305479
11140000,4,0.6226899207690507
11150000,1,0.3970837794815907
11150000,2,1.0656979146527288
11150000,3,1.3348823314174467
11150000,4,0.4195090939584309
11160000,1,0.604705305975579
11160000,2,0.9331498122637301
11160000,3,1.3785309253234452
11160000,4,0.6967670026263795
11170000,1,0.5870897389160444
11170000,2,0.9410137520324233
11170000,3,1.3693470719966236
11170000,4,0.7309381312399029
11180000,1,0.600208721983851
11180000,2,0.8962256660398014
11180000,3,1.4498049440097973
11180000,4,0.6405321703264439
11190000,1,0.48063507598623156
11190000,2,0.9010346596926152
11190000,3,1.4798007778108375
11190000,4,0.7888351609696038
11200000,1,0.5395222576727083
11200000,2,1.0340081525354439
11200000,3,1.2132146144567502
11200000,4,0.9196801875118696
11210000,1,0.37165390469124837
11210000,2,1.0472629374575486
11210000,3,1.333408852413268
11210000,4,0.6566991748453354
11220000,1,0.37687360526608327
11220000,2,0.9816659976580175
11220000,3,1.4149884364324377
11220000,4,0.7584915100460312
11230000,1,0.6772604272429529
11230000,2,1.1145602373331618
11230000,3,1.0388289434544824
11230000,4,0.7700207245633126
11240000,1,0.5161640846103617
11240000,2,1.0097842625653037
11240000,3,1.3419896373846034
11240000,4,0.5048924772438638
11250000,1,0.42883215958310866
11250000,2,0.9144781729728807
11250000,3,1.4964711833625948
11250000,4,0.7378686007604357
11260000,1,0.3919850134527981
11260000,2,0.9567648366100375
11260000,3,1.4694545394483125
11260000,4,0.6335154589039449
11270000,1,0.484265138671311
11270000,2,1.0753502811535591
11270000,3,1.2202082702337158
11270000,4,0.6955843712530109
11280000,1,0.4701653287069714
