Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	bcov_alpha.s:kd-looms_1111	bcov_s.s:kd-looms_1111	frequencies.s:kd-looms_1111.1	frequencies.s:kd-looms_1111.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
35	-1994.2591423709164	-1955.7189159122465	-38.54022645866986	-1955.7189159122465	16.63660825851655	1.0	0.013602999250124382	0.2017685194090032	0.7747013038695046	0.22529869613049652	0.11049344763149996	-33.064823326003136	0.2194544468833293	0.6619802166983562	0.02377329934614439	16.75343451653145	0.0	-3.891820298110627	5.300000000000267	
36	-2012.2658799033359	-1955.6440884629671	-56.62179144036881	-1955.6440884629671	28.65008707073653	1.0	0.009506174949122299	0.24546254816130794	0.7545785319580995	0.2454214680419018	0.056830966390241634	-50.955796783605074	0.13624390490902846	0.7773195887515183	0.00856175535527999	36.08842731955572	1.0	-3.891820298110627	5.300000000000271	
37	-2009.7941063739793	-1954.7400293521728	-55.054077021806606	-1954.7400293521728	20.388387080863865	1.0	0.0044318754429128115	0.21309818409578624	0.7633799238323253	0.23662007616767597	0.06237487881308788	-49.52564059780584	0.1857169393939137	0.32367108639093783	0.08092454962014942	24.336953052581052	1.0	-3.891820298110627	5.300000000000274	
38	-2009.7941063739793	-1954.7400293521728	-55.054077021806606	-1954.7400293521728	20.388387080863865	1.0	0.0044318754429128115	0.21309818409578624	0.7633799238323253	0.23662007616767597	0.06237487881308788	-49.52564059780584	0.1857169393939137	0.32367108639093783	0.08092454962014942	24.336953052581052	1.0	-3.891820298110627	5.300000000000274	
39	-1999.1359260821494	-1954.628545144499	-44.50738093765045	-1954.628545144499	15.416992126973195	1.0	0.010897668788706348	0.3064220485053323	0.7513661686289721	0.24863383137102937	0.07620317301032618	-38.6245622686272	0.23032057599700959	0.40772293541497967	0.008502322987481223	16.894015062543623	1.0	-3.891820298110627	5.300000000000269	
40	-1999.1359260821494	-1954.628545144499	-44.50738093765045	-1954.628545144499	15.416992126973195	1.0	0.010897668788706348	0.3064220485053323	0.7513661686289721	0.24863383137102937	0.07620317301032618	-38.6245622686272	0.23032057599700959	0.40772293541497967	0.008502322987481223	16.894015062543623	1.0	-3.891820298110627	5.300000000000269	
41	-1992.5269315102266	-1954.0142172533272	-38.51271425689937	-1954.0142172533272	15.03675728615932	1.0	0.0030158836403400093	0.35697115916337135	0.7365395088328145	0.26346049116718734	0.101046661328317	-32.47978365993796	0.24735922670850646	0.6555081057669354	0.024744657237409526	15.092913263444194	1.0	-3.891820298110627	5.300000000000269	
42	-1992.5269315102266	-1954.0142172533272	-38.51271425689937	-1954.0142172533272	15.03675728615932	1.0	0.0030158836403400093	0.35697115916337135	0.7365395088328145	0.26346049116718734	0.101046661328317	-32.47978365993796	0.24735922670850646	0.6555081057669354	0.024744657237409526	15.092913263444194	1.0	-3.891820298110627	5.300000000000269	
43	-2003.5724701726144	-1953.845128207051	-49.72734196556338	-1953.845128207051	17.993459041839323	1.0	0.010240316020762776	0.2625339218410378	0.7337970267241642	0.26620297327583736	0.07105583301697421	-43.99576604984364	0.25351015267363464	0.38603758887100525	0.05562395237477705	18.82451894619489	1.0	-3.891820298110627	5.300000000000267	
44	-2003.5724701726144	-1953.845128207051	-49.72734196556338	-1953.845128207051	17.993459041839323	1.0	0.010240316020762776	0.2625339218410378	0.7337970267241642	0.26620297327583736	0.07105583301697421	-43.99576604984364	0.25351015267363464	0.38603758887100525	0.05562395237477705	18.82451894619489	1.0	-3.891820298110627	5.300000000000267	
45	-2006.6127380395674	-1953.6650550885772	-52.94768295099017	-1953.6650550885772	20.189995112955774	1.0	0.01270399465548877	0.24166718699545153	0.7760054464491567	0.22399455355084505	0.0593815507426702	-47.29687155020616	0.20748974562885705	0.38697468537882435	0.03787005935875082	20.255989942242962	1.0	-3.891820298110627	5.300000000000271	
46	-1997.6907067108948	-1953.5582494281352	-44.13245728275966	-1953.5582494281352	13.142401951183304	1.0	0.005514780699014635	0.2534595658322139	0.7510297549393972	0.2489702450606046	0.08649339653636567	-38.435205996043116	0.23053735076592483	0.4547790260026368	0.056362118114067584	16.67558307005971	0.0	-3.891820298110627	5.300000000000271	
