#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:tree" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:tree" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:tree" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.kd-looms_pruned_filtered" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:tree" name="distribution" x="@BDBirthRate.t:tree">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:tree" name="distribution" x="@BDDeathRate.t:tree">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="bcov_alpha_prior.s:kd-looms_pruned_filtered" name="distribution">
#            <parameter id="bcov_alpha.s:kd-looms_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:kd-looms_pruned_filtered" name="distribution">
#            <parameter id="bcov_s.s:kd-looms_pruned_filtered" lower="1.0E-4" name="x" spec="beast.core.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter id="RealParameter.0" lower="0.0" name="alpha" spec="beast.core.parameter.RealParameter" upper="0.0">0.05</parameter>
#                <parameter id="RealParameter.1" lower="0.0" name="beta" spec="beast.core.parameter.RealParameter" upper="0.0">10.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ClockPrior.c:clock" name="distribution">
#            <parameter id="clockRate.c:clock" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="Li.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:tree">
#            <taxonset id="Li" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="Ha_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Meifu_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Qi_Li" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="Run_Li" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.6" lower="0.5" name="distr" upper="1.5"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.kd-looms_pruned_filtered" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@kd-looms_pruned_filtered" excludeto="1" filter="-" id="orgdata.kd-looms_pruned_filtered" spec="beast.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:kd-looms_pruned_filtered" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:kd-looms_pruned_filtered" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:kd-looms_pruned_filtered" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:kd-looms_pruned_filtered" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:kd-looms_pruned_filtered" id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:kd-looms_pruned_filtered">
#                    <parameter dimension="2" id="frequencies.s:kd-looms_pruned_filtered" lower="0.0" name="vfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:kd-looms_pruned_filtered" lower="0.0" name="hfrequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@kd-looms_pruned_filtered" estimate="false" id="dummyfrequencies.s:kd-looms_pruned_filtered" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:clock" id="StrictClock.c:clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#    <distribution id="fossilCalibrations" spec="beast.core.util.CompoundDistribution"/>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_pruned_filtered	TreeHeight.t:tree	mutationRate.s:kd-looms_pruned_filtered	bcov_alpha.s:kd-looms_pruned_filtered	bcov_s.s:kd-looms_pruned_filtered	frequencies.s:kd-looms_pruned_filtered.1	frequencies.s:kd-looms_pruned_filtered.2	BirthDeath.t:tree	BDBirthRate.t:tree	BDDeathRate.t:tree	logP(mrca(Li))	mrca.age(Li)	clockRate.c:clock
190000	-1367.6878262894995	-1315.237912973874	-52.44991331562545	-1315.237912973874	18.982007898220083	1.0	0.3365267754219935	0.13483086851416673	0.7260400454585755	0.2739599545414246	-44.34821390030716	0.1591851697120509	0.047616779280644034	0.0	0.5278421786030556	0.03970313741733713
200000	-1365.6694147925957	-1304.2320806883608	-61.437334104234786	-1304.2320806883608	37.10295502791641	1.0	0.12906181116170473	0.23843899124259207	0.724040435149369	0.27595956485063106	-52.78368618355672	0.05276519468223064	0.6334520733483848	0.0	1.105153756616883	0.03007365368581785
210000	-1358.6205511502678	-1310.3703965163857	-48.250154633882154	-1310.3703965163857	16.646674310912307	1.0	0.13966453520193695	0.15551651723619372	0.7136749949722441	0.2863250050277558	-40.01079241366856	0.17566524067249314	0.5854043470284384	0.0	0.7087419617310159	0.07634355865138454
220000	-1369.4552386262785	-1318.368434851967	-51.08680377431131	-1318.368434851967	20.019055582051333	1.0	0.17976774168012052	0.22399105536804906	0.7275496195396981	0.2724503804603018	-42.4939826354421	0.20074582770894364	0.4236543399022542	0.0	0.8343273687005734	0.053210259500318983
230000	-1365.7991364343293	-1311.5802336916577	-54.21890274267165	-1311.5802336916577	39.18702159644676	1.0	0.1409704908357283	0.13716648214384583	0.7249820109905732	0.2750179890094268	-46.10065425791411	0.06157780526162596	0.843218965887324	0.0	0.9211171857037168	0.046267564945343
240000	-1376.3318194544872	-1315.6686223117456	-60.66319714274175	-1315.6686223117456	28.586610809530693	1.0	0.09267433989475433	0.17720690594909064	0.7269589887852298	0.27304101121477015	-52.29762812296188	0.11858484564469511	0.0960434947338144	0.0	0.9642457429503815	0.04001397030043549
250000	-1355.788549491494	-1312.8522786648414	-42.93627082665254	-1312.8522786648414	10.069986534414545	1.0	0.22679579533770364	0.1427802975860467	0.7231979908312935	0.27680200916870645	-34.77935486235844	0.16220291228085493	0.8111431282157396	0.0	0.6957264677089509	0.07421447537985404
260000	-1352.858791836134	-1304.333141921235	-48.52564991489898	-1304.333141921235	16.817976071033605	1.0	0.16685397610032965	0.2828023121777061	0.7318411916094616	0.2681588083905384	-39.70546275952464	0.12547176830547382	0.46197000219805867	0.0	0.506698918774035	0.06945302464041832
270000	-1362.1197708306463	-1311.2406450500714	-50.879125780574995	-1311.2406450500714	16.240774192656197	1.0	0.10791447011750831	0.21069795242551995	0.7223931133189987	0.2776068866810013	-42.345755443020515	0.21073750552748297	0.4677346312720231	0.0	0.6971457292909364	0.062436823490821185
280000	-1355.664608378925	-1307.8638377593911	-47.800770619534056	-1307.8638377593911	17.47319833206977	1.0	0.09272647393313105	0.27639568624103217	0.7098261532688945	0.29017384673110547	-39.00299302067186	0.07093154336036167	0.8966663039153255	0.0	0.5055770851553323	0.06635541050904942
290000	-1358.935162217632	-1310.40610310722	-48.5290591104121	-1310.40610310722	18.066380554132838	1.0	0.02930876321099892	0.2886320175876395	0.7099833810575146	0.2900166189424855	-39.68890473682634	0.1774572678907533	0.38535876304764494	0.0	0.5272463204496585	0.07111872007292754
300000	-1358.2562434859985	-1311.9789275409844	-46.27731594501412	-1311.9789275409844	13.367266511373026	1.0	0.09049183631805957	0.5830662099096148	0.719973717306562	0.280026282693438	-36.739727394247474	0.2867579146934838	0.6537958813325366	0.0	0.5874269956991368	0.08512351063369557
310000	-1373.6485958161268	-1318.7045788430285	-54.94401697309839	-1318.7045788430285	18.330316191827595	1.0	0.11203217976221469	0.39264922566250715	0.7157180939500783	0.2842819060499216	-45.80108500603029	0.07835385517448124	0.7826039133783681	0.0	0.7156517894673955	0.036800282545482545
320000	-1370.322368986736	-1312.3012103196668	-58.02115866706918	-1312.3012103196668	28.94638750940673	1.0	0.21628618062493335	0.1681207573439	0.7017984025651117	0.29820159743488783	-49.7065019825212	0.10389010918910146	0.28904676717393635	0.0	1.077335921939349	0.032834589641595344
330000	-1362.620758667945	-1314.9367506326441	-47.68400803530084	-1314.9367506326441	14.854168053865786	1.0	0.24918444917756932	0.15118393029770585	0.7250836943046504	0.27491630569534925	-39.47192110447303	0.2274754747317628	0.4560005372938539	0.0	0.6776742346552066	0.06413913140852151
340000	-1375.5342946913129	-1314.0706845062434	-61.46361018506937	-1314.0706845062434	78.49001135836846	1.0	0.10016953578126653	0.08527691379221364	0.7352477008617307	0.26475229913826887	-53.802077691924964	0.015347252204247904	0.9224563972726432	0.0	1.4234881076103636	0.03378947139833426
350000	-1363.0017864142856	-1304.2968761316229	-58.70491028266265	-1304.2968761316229	36.11104656982463	1.0	0.10445701828115558	0.25277566925595524	0.6982537343340433	0.3017462656659562	-49.99435920410794	0.10920134720248305	0.1967531089615327	0.0	0.7996537660907931	0.045802321519685434
360000	-1374.1100201035704	-1311.0273328015437	-63.08268730202676	-1311.0273328015437	37.77475445667585	1.0	0.2190775582248908	0.33666071040765433	0.7175293552723244	0.28247064472767497	-54.09150316364083	0.08384000945044705	0.5023747383861714	0.0	0.9343469291019612	0.02790593084883707
370000	-1366.5100361721165	-1308.3991578559276	-58.11087831618895	-1308.3991578559276	32.36878990324437	1.0	0.11884708549474941	0.17898545810089192	0.7158177843186624	0.28418221568133706	-49.73564421599155	0.05954712845299132	0.5195789751628036	0.0	0.844375101101883	0.04639902022786227
380000	-1370.4930916653625	-1310.22396382223	-60.26912784313245	-1310.22396382223	23.533364144160007	1.0	0.12016765833413433	0.15929577294630864	0.7258058094484257	0.27419419055157374	-52.00657749886966	0.04291739340763586	0.43986492071509686	0.0	0.6771358264669857	0.0501217043194052
390000	-1365.5518668483724	-1308.6540372326144	-56.897829615757885	-1308.6540372326144	25.502875566621746	1.0	0.03071525044102342	0.2556205377059846	0.7139000079497586	0.2860999920502407	-48.176361975610845	0.2351324759561093	0.44271547446360476	0.0	0.619724412876596	0.05391324667564657
400000	-1357.4567052976226	-1310.2663765856498	-47.19032871197292	-1310.2663765856498	16.47118629580564	1.0	0.1531715560249787	0.27424162086595727	0.719648301404498	0.2803516985955014	-38.40019926174084	0.3362136922736336	0.06780413107713794	0.0	0.5693884924318217	0.08251144710746815
410000	-1367.7308800580456	-1313.413563294111	-54.31731676393442	-1313.413563294111	30.448864566867	1.0	0.06685566216227228	0.17053734397072465	0.6863276698145794	0.3136723301854199	-45.98886022587283	0.052717849039622386	0.6957787983381467	0.0	0.5407605339105297	0.05329217869956685
420000	-1354.390289385968	-1309.9693839393483	-44.42090544661954	-1309.9693839393483	23.998348008037233	1.0	0.2119768614259378	0.06280159723514632	0.7194468953338234	0.2805531046661756	-37.05224758575566	0.09289517400145238	0.8491712269396352	0.0	0.6626016771192847	0.0876659462163238
430000	-1361.34556972627	-1308.570256674357	-52.77531305191282	-1308.570256674357	32.20929117049206	1.0	0.23010601415999057	0.020191301162363524	0.7485789284222736	0.2514210715777254	-46.488908419822074	0.10168200362502873	0.7998862900666283	0.0	0.5738039090552769	0.05938161528336263
440000	-1367.5690798292171	-1311.7743111631746	-55.79476866604242	-1311.7743111631746	33.56029907496947	1.0	0.28986716032920395	0.012194107828351806	0.7013548185825019	0.298645181417497	-49.98824780893339	0.04126921920682304	0.6509320885404779	0.0	1.0423741063786176	0.04329572836645307
450000	-1362.7762137507093	-1317.892465532827	-44.883748217882435	-1317.892465532827	14.317921650932771	1.0	0.28986716032920395	0.02152527235291419	0.7425055803519331	0.2574944196480658	-38.53643315305301	0.11643245266207557	0.7423213723226859	0.0	0.6704054915567711	0.07167276881094253
460000	-1362.9344370598067	-1309.1599619503081	-53.77447510949854	-1309.1599619503081	25.75011706010149	1.0	0.3487888620008198	0.1311703851969391	0.7469086835681092	0.25309131643188976	-45.69928957930412	0.2082827728381814	0.3708238159288831	0.0	1.003664283058655	0.0495262114301552
470000	-1356.9484926341372	-1309.7825352619384	-47.16595737219892	-1309.7825352619384	20.017960882133238	1.0	0.2547481941016746	0.08547270835976643	0.7216922994486026	0.27830770055139686	-39.50222661342141	0.08719792229590878	0.76344803023079	0.0	0.6783695850396351	0.06844080550176058
