Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	freqParameter.s:level1.1	freqParameter.s:level1.2	freqParameter.s:level2.1	freqParameter.s:level2.2	freqParameter.s:level3.1	freqParameter.s:level3.2	freqParameter.s:level4.1	freqParameter.s:level4.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
10	-1988.4858929588977	-1931.690097317704	-56.79579564119369	-258.7722367103939	-1029.6277347065334	-565.4487131129578	-77.84141278781905	18.399040136049845	0.49841957855532526	1.0440596767323067	1.107927316838047	1.5164949269137793	0.44791303836216373	0.5520869616378337	0.6994307332318717	0.3005692667681275	0.848308460539905	0.15169153946009603	0.9131588906099871	0.08684110939001205	0.031346929386341836	-52.90397534308306	0.17151975814617162	0.2651140122568802	0.17307712619007454	18.55252775953866	1.0	-3.891820298110627	5.3000000000002085	
11	-1984.281197758055	-1930.845313186736	-53.43588457131921	-259.5474261107352	-1030.623268578653	-561.2924777681883	-79.3821407291593	18.103038528038386	0.49462544859676116	1.0586545569951706	1.2517125415381563	0.6378663653465724	0.42681219898518424	0.5731878010148134	0.6618257685315525	0.3381742314684469	0.8498570563316965	0.15014294366830477	0.9069706797779713	0.09302932022202764	0.03916589664676853	-49.544064273208576	0.2228531592921803	0.18005217147038824	0.34902675114429627	18.182262972953005	1.0	-3.891820298110627	5.300000000000205	
12	-1984.281197758055	-1930.845313186736	-53.43588457131921	-259.5474261107352	-1030.623268578653	-561.2924777681883	-79.3821407291593	18.103038528038386	0.49462544859676116	1.0586545569951706	1.2517125415381563	0.6378663653465724	0.42681219898518424	0.5731878010148134	0.6618257685315525	0.3381742314684469	0.8498570563316965	0.15014294366830477	0.9069706797779713	0.09302932022202764	0.03916589664676853	-49.544064273208576	0.2228531592921803	0.18005217147038824	0.34902675114429627	18.182262972953005	1.0	-3.891820298110627	5.300000000000205	
13	-1971.3712489277625	-1930.2026566132636	-41.16859231449901	-261.3717229809558	-1023.6909740811645	-559.2379827774666	-85.90197677367647	14.762451172282473	0.6375516506303734	0.9361850878875492	1.4391639897999073	0.25204191700834705	0.49638365547262475	0.5036163445273726	0.7137948372804088	0.28620516271959057	0.8355182550840995	0.16448174491590153	0.9687212608267451	0.03127873917325408	0.06717139187498994	-37.276772016388385	0.3853063120428639	0.2522980378526204	0.17125947994227117	15.821800512996194	1.0	-3.891820298110627	5.300000000000214	
14	-1971.3712489277625	-1930.2026566132636	-41.16859231449901	-261.3717229809558	-1023.6909740811645	-559.2379827774666	-85.90197677367647	14.762451172282473	0.6375516506303734	0.9361850878875492	1.4391639897999073	0.25204191700834705	0.49638365547262475	0.5036163445273726	0.7137948372804088	0.28620516271959057	0.8355182550840995	0.16448174491590153	0.9687212608267451	0.03127873917325408	0.06717139187498994	-37.276772016388385	0.3853063120428639	0.2522980378526204	0.17125947994227117	15.821800512996194	1.0	-3.891820298110627	5.300000000000214	
15	-1976.445689551835	-1929.869941838708	-46.575747713126916	-250.76278117778054	-1031.0514083252003	-568.493126207202	-79.56262612852542	14.229036199713496	0.6050935398441286	1.0378583260938425	1.2363696087664893	0.5725316840768223	0.5246944725888534	0.47530552741114374	0.6908714827147026	0.3091285172852968	0.8899489419025759	0.11005105809742498	0.9378470239576223	0.0621529760423768	0.049569446414675124	-42.68392741501629	0.28666104545227905	0.15324834938876386	0.12245416077006241	15.847351529104055	1.0	-3.891820298110627	5.300000000000214	
16	-1987.7163087867361	-1929.5385090084415	-58.17779977829464	-253.1128996033148	-1032.737531905965	-565.3612634389074	-78.32681406025429	24.373886310133027	0.6219071936502067	1.0438106934970819	1.0905786545092304	1.2509445242038724	0.5260671309999206	0.4739328690000766	0.7264134164483244	0.2735865835516755	0.8300330970618117	0.16996690293818945	0.9081373067471707	0.09186269325282873	0.04059403352590437	-54.28597948018401	0.2513379691128355	0.007068772433063846	0.6744247307440274	26.167354124214235	1.0	-3.891820298110627	5.300000000000214	
17	-1980.1701283057234	-1929.0631622883839	-51.1069660173396	-257.84982067512664	-1032.6189404174133	-562.2667624178387	-76.32763877800505	15.106887461289611	0.6268352195069881	1.0798290652037192	1.1348281141254097	0.697419368971108	0.4761715629359698	0.5238284370640275	0.7009973304234943	0.2990026695765051	0.8433484040021347	0.15665159599786638	0.9331614442941537	0.0668385557058455	0.05031387511244982	-47.21514571922898	0.29288122451376375	0.255895578636498	0.28548924560185	17.89187862333659	0.0	-3.891820298110627	5.300000000000212	
18	-1971.6461270955808	-1928.0989210775954	-43.54720601798543	-248.012137837712	-1032.9412052008468	-568.8673913353595	-78.27818670367724	13.305720089519502	0.5193249757967698	1.0779375194940115	1.1873023474508266	0.7470488451137267	0.4623126834391734	0.5376873165608238	0.720066462540072	0.27993353745992733	0.8289890027988269	0.171010997201174	0.9232846053484427	0.0767153946515565	0.05456033178131356	-39.65538571987481	0.3568952784370678	0.12068728399124885	0.22493767669835488	14.806421485432296	1.0	-3.891820298110627	5.300000000000214	
19	-1979.6046520132884	-1926.9093324901755	-52.695319523112886	-260.73622045150455	-1025.7716191781085	-561.999531818825	-78.40196104173765	16.993544551583888	0.7821048705374501	1.112098653883316	0.9855702516102463	0.7689891154931865	0.4978260959896184	0.5021739040103785	0.6730541339480248	0.3269458660519748	0.8500384030299745	0.14996159697002667	0.8936664182340963	0.10633358176590249	0.04529255140991722	-48.80349922500226	0.21993394545801886	0.05222837813890248	0.6399902066938162	21.36617025583093	1.0	-3.891820298110627	5.3000000000002245	
