Sample	posterior	likelihood	prior	treeLikelihood.level1	treeLikelihood.level2	treeLikelihood.level3	treeLikelihood.level4	TreeHeight.t:tree	mutationRate.s:level1	mutationRate.s:level2	mutationRate.s:level3	mutationRate.s:level4	bcov_alpha.s:level1	bcov_s.s:level1	frequencies.s:level1.1	frequencies.s:level1.2	clockRate.c:clock	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
14	-1960.389556343713	-1919.9208628607148	-40.46869348299806	-260.58016220986997	-1012.6024983432932	-564.7237801404976	-82.01442216705398	21.086227059678645	0.4784558746727873	1.1146645784483555	1.1380957851862978	0.7220659759371728	0.01422967469784181	0.19702928728503452	0.7827651506092561	0.21723484939074503	0.10731879124341624	-35.01634455058628	0.1257925148371117	0.8466622298101941	0.007117789985765388	21.38067547051453	1.0	-3.891820298110627	5.300000000000264	
15	-1966.363033433552	-1918.530921469249	-47.83211196430277	-260.47701258950264	-1011.3098798480124	-564.9894786533433	-81.75455037839052	19.929271200073575	0.6198447616455025	0.8964580121795945	1.4264516865222514	0.6083555145704185	0.004652198883757938	0.14114001110221208	0.7568373069578648	0.24316269304213634	0.11214314467487539	-42.70227195939153	0.11816664307284162	0.6676709510772365	0.00923880643236308	23.14644331623093	0.0	-3.891820298110627	5.300000000000271	
16	-1961.97337711622	-1917.7188073944606	-44.25456972175938	-261.52641969792	-1008.3909659065666	-565.3548062520782	-82.44661553789561	24.552312858736492	0.5028560163099807	0.9159759964567684	1.5084958690042831	0.3477273475619732	0.0033308144685500374	0.18876697686410815	0.775867163217671	0.22413283678233015	0.11638208445890597	-38.843744123945356	0.070047884799764	0.9235719646945479	7.575452555002109E-4	27.415032043531063	0.0	-3.891820298110627	5.300000000000267	
17	-1961.97337711622	-1917.7188073944606	-44.25456972175938	-261.52641969792	-1008.3909659065666	-565.3548062520782	-82.44661553789561	24.552312858736492	0.5028560163099807	0.9159759964567684	1.5084958690042831	0.3477273475619732	0.0033308144685500374	0.18876697686410815	0.775867163217671	0.22413283678233015	0.11638208445890597	-38.843744123945356	0.070047884799764	0.9235719646945479	7.575452555002109E-4	27.415032043531063	0.0	-3.891820298110627	5.300000000000267	
18	-1970.719470535293	-1917.508846743491	-53.210623791802206	-259.80355490727595	-1016.2905619267352	-560.6696901299966	-80.74503977948301	30.502540568616375	0.5734787777184345	1.0757250083370447	1.172622732745695	0.5885135035074589	0.0025241393265504754	0.1840102906915146	0.7765604148714113	0.22343958512858988	0.08496866789248776	-47.82451942442348	0.18541503369902027	0.6215760315209886	0.04639491472699911	34.13954403274071	1.0	-3.891820298110627	5.300000000000264	
19	-1970.719470535293	-1917.508846743491	-53.210623791802206	-259.80355490727595	-1016.2905619267352	-560.6696901299966	-80.74503977948301	30.502540568616375	0.5734787777184345	1.0757250083370447	1.172622732745695	0.5885135035074589	0.0025241393265504754	0.1840102906915146	0.7765604148714113	0.22343958512858988	0.08496866789248776	-47.82451942442348	0.18541503369902027	0.6215760315209886	0.04639491472699911	34.13954403274071	1.0	-3.891820298110627	5.300000000000264	
20	-1970.719470535293	-1917.508846743491	-53.210623791802206	-259.80355490727595	-1016.2905619267352	-560.6696901299966	-80.74503977948301	30.502540568616375	0.5734787777184345	1.0757250083370447	1.172622732745695	0.5885135035074589	0.0025241393265504754	0.1840102906915146	0.7765604148714113	0.22343958512858988	0.08496866789248776	-47.82451942442348	0.18541503369902027	0.6215760315209886	0.04639491472699911	34.13954403274071	1.0	-3.891820298110627	5.300000000000264	
21	-1963.9542511970008	-1917.352861070772	-46.60139012622875	-267.2769339992504	-1004.489313701363	-564.2565907086401	-81.33002266151854	16.754733669169187	0.5349446753335252	0.9129653044311177	1.418054433344589	0.7618297401442307	0.002983003623071048	0.28881591760652875	0.7844690504633667	0.21553094953663424	0.09692018017065614	-40.77654724991645	0.25500913853314916	0.11363892682067987	0.16812539155920248	21.32728310181199	1.0	-3.891820298110627	5.300000000000271	
22	-1963.9542511970008	-1917.352861070772	-46.60139012622875	-267.2769339992504	-1004.489313701363	-564.2565907086401	-81.33002266151854	16.754733669169187	0.5349446753335252	0.9129653044311177	1.418054433344589	0.7618297401442307	0.002983003623071048	0.28881591760652875	0.7844690504633667	0.21553094953663424	0.09692018017065614	-40.77654724991645	0.25500913853314916	0.11363892682067987	0.16812539155920248	21.32728310181199	1.0	-3.891820298110627	5.300000000000271	
23	-1963.9542511970008	-1917.352861070772	-46.60139012622875	-267.2769339992504	-1004.489313701363	-564.2565907086401	-81.33002266151854	16.754733669169187	0.5349446753335252	0.9129653044311177	1.418054433344589	0.7618297401442307	0.002983003623071048	0.28881591760652875	0.7844690504633667	0.21553094953663424	0.09692018017065614	-40.77654724991645	0.25500913853314916	0.11363892682067987	0.16812539155920248	21.32728310181199	1.0	-3.891820298110627	5.300000000000271	
