Sample	posterior	likelihood	prior	treeLikelihood.kd-looms_1111	TreeHeight.t:tree	mutationRate.s:kd-looms_1111	bcov_alpha.s:kd-looms_1111	bcov_s.s:kd-looms_1111	frequencies.s:kd-looms_1111.1	frequencies.s:kd-looms_1111.2	ucldMean.c:clock	ucldStdev.c:clock	rate.c:clock.mean	rate.c:clock.variance	rate.c:clock.coefficientOfVariation	FBD.t:tree	diversificationRateFBD.t:tree	turnoverFBD.t:tree	samplingProportionFBD.t:tree	originFBD.t:tree	SACountFBD.t:tree	logP(mrca(LZ.prior))	height(Liangzhu)	
10	-1988.427270453025	-1936.4501628572787	-51.97710759574623	-1936.4501628572787	9.928513068445296	1.0	0.03317657252224289	0.24534253778337448	0.7453507508658006	0.2546492491341984	0.07560872864790795	0.7176347932748313	0.06123375613716823	0.0029256777233447845	0.8383849394118288	-44.60633329445844	0.3309890896349708	0.29170181119258765	0.14866866112316965	10.087936488610492	1.0	-3.891820298110627	5.300000000000338	
11	-1988.029573434907	-1936.434137764788	-51.595435670119016	-1936.434137764788	9.617262727575744	1.0	0.09924853481960394	0.13325267343501565	0.765455644170526	0.23454435582947303	0.1313860996521427	1.1847296511072178	0.07729675718228163	0.013293622220715411	1.2682185068760399	-43.36187387422373	0.3362460320705107	0.12093375429911266	0.17216251859913895	9.713721489596288	1.0	-3.891820298110627	5.300000000000338	
12	-1988.029573434907	-1936.434137764788	-51.595435670119016	-1936.434137764788	9.617262727575744	1.0	0.09924853481960394	0.13325267343501565	0.765455644170526	0.23454435582947303	0.1313860996521427	1.1847296511072178	0.07729675718228163	0.013293622220715411	1.2682185068760399	-43.36187387422373	0.3362460320705107	0.12093375429911266	0.17216251859913895	9.713721489596288	1.0	-3.891820298110627	5.300000000000338	
13	-1985.98076330939	-1935.6001572663513	-50.380606043038725	-1935.6001572663513	10.470268827356229	1.0	0.03977040206764979	0.17189447857681892	0.7441900303059451	0.25580996969405406	0.07304470807715065	0.6794520352848644	0.07570067821807268	0.0036261010474258728	0.8053139356889736	-43.480315392113674	0.2238445821258712	0.38712384789811793	0.07641964728627912	14.41711151020039	1.0	-3.891820298110627	5.30000000000034	
14	-1958.881178041871	-1935.5506142343097	-23.330563807561287	-1935.5506142343097	5.300000000000333	1.0	0.05557538299531655	0.17868936461788507	0.7640452002877275	0.23595479971227107	0.2657775383066251	0.9736722861138212	0.20698591962627688	0.10945989183010564	1.312405964568768	-15.456705740606996	0.8416098933097363	0.3366261484462141	0.039694679732822036	5.810790679214976	1.0	-3.891820298110627	5.300000000000333	
15	-1958.881178041871	-1935.5506142343097	-23.330563807561287	-1935.5506142343097	5.300000000000333	1.0	0.05557538299531655	0.17868936461788507	0.7640452002877275	0.23595479971227107	0.2657775383066251	0.9736722861138212	0.20698591962627688	0.10945989183010564	1.312405964568768	-15.456705740606996	0.8416098933097363	0.3366261484462141	0.039694679732822036	5.810790679214976	1.0	-3.891820298110627	5.300000000000333	
16	-1954.8711387450971	-1935.5359256093634	-19.335213135733746	-1935.5359256093634	5.491847349905707	1.0	0.04513880435231101	0.1995835440131092	0.745352674836916	0.25464732516308275	0.3525119016886339	1.0759657909852092	0.28531326233977417	0.08385592806891143	1.1439779298376256	-11.04036310342914	0.31241631251402746	0.830379605147752	0.035699510568311416	7.494219235574883	0.0	-3.891820298110627	5.300000000000333	
17	-1954.8711387450971	-1935.5359256093634	-19.335213135733746	-1935.5359256093634	5.491847349905707	1.0	0.04513880435231101	0.1995835440131092	0.745352674836916	0.25464732516308275	0.3525119016886339	1.0759657909852092	0.28531326233977417	0.08385592806891143	1.1439779298376256	-11.04036310342914	0.31241631251402746	0.830379605147752	0.035699510568311416	7.494219235574883	0.0	-3.891820298110627	5.300000000000333	
18	-1954.8711387450971	-1935.5359256093634	-19.335213135733746	-1935.5359256093634	5.491847349905707	1.0	0.04513880435231101	0.1995835440131092	0.745352674836916	0.25464732516308275	0.3525119016886339	1.0759657909852092	0.28531326233977417	0.08385592806891143	1.1439779298376256	-11.04036310342914	0.31241631251402746	0.830379605147752	0.035699510568311416	7.494219235574883	0.0	-3.891820298110627	5.300000000000333	
19	-1985.9529324136308	-1934.598810155863	-51.35412225776773	-1934.598810155863	14.192965052841142	1.0	0.02939664227218677	0.16486546813189865	0.7764637293414525	0.22353627065854664	0.07265115132121401	0.5558394459761119	0.07140132239337257	0.002010226520507504	0.6611852517920231	-44.91032746638625	0.28019353209810766	0.1850024702474871	0.17559470544241335	15.372349090944423	1.0	-3.891820298110627	5.300000000000335	
